month,DE,SK,PL,FR,AT,IT,HU,NL,GB,ES
2010-01,54779.0,14014.0,9931.0,9580.0,7797.0,8454.0,4005.0,6067.0,7956.0,4354.0
2010-02,56887.0,15588.0,10764.0,9784.0,8313.0,9253.0,4131.0,6027.0,7628.0,5014.0
2010-03,67474.0,18735.0,12699.0,11330.0,10215.0,9667.0,4830.0,6540.0,8427.0,5001.0
2010-04,61321.0,17708.0,12570.0,10617.0,10220.0,9279.0,4644.0,6630.0,7817.0,5023.0
2010-05,62772.0,17772.0,13359.0,10791.0,10157.0,9460.0,4940.0,6622.0,8457.0,5407.0
2010-06,65853.0,18938.0,13738.0,12153.0,10698.0,9997.0,4949.0,7164.0,8567.0,5867.0
2010-07,59301.0,17495.0,12434.0,11276.0,9364.0,8608.0,4602.0,6280.0,8245.0,3896.0
2010-08,62745.0,17726.0,13310.0,7491.0,10182.0,6151.0,4780.0,6174.0,8073.0,3006.0
2010-09,72004.0,19760.0,14344.0,10748.0,11413.0,8965.0,5195.0,7444.0,8738.0,4740.0
2010-10,72120.0,20998.0,14782.0,10794.0,10656.0,8757.0,5188.0,7441.0,9365.0,4722.0
2010-11,74909.0,22343.0,14941.0,10762.0,11102.0,9221.0,5871.0,6543.0,9378.0,5403.0
2010-12,60031.0,20033.0,12932.0,9788.0,8566.0,7960.0,4215.0,6689.0,7428.0,3900.0
2011-01,66464.0,18463.0,13509.0,11739.0,9846.0,9039.0,4723.0,7100.0,8932.0,4604.0
2011-02,66090.0,18916.0,13806.0,11868.0,9599.0,9266.0,4757.0,6612.0,7427.0,4974.0
2011-03,76491.0,22212.0,15856.0,12570.0,11542.0,11031.0,5796.0,7716.0,9748.0,5225.0
2011-04,65526.0,20008.0,14782.0,12323.0,11301.0,9230.0,4941.0,7128.0,8553.0,4736.0
2011-05,73125.0,22595.0,15147.0,12428.0,11613.0,9625.0,5351.0,7144.0,8566.0,4980.0
2011-06,69830.0,22203.0,15344.0,12633.0,10726.0,9672.0,5522.0,7241.0,8902.0,5206.0
2011-07,63943.0,19547.0,13840.0,10364.0,10264.0,8960.0,5145.0,6878.0,8620.0,3852.0
2011-08,66867.0,21396.0,14647.0,8078.0,10296.0,6451.0,4656.0,5882.0,7375.0,3289.0
2011-09,73578.0,22152.0,15517.0,12343.0,11239.0,9952.0,5387.0,7206.0,8681.0,5317.0
2011-10,74599.0,22992.0,15315.0,12865.0,11058.0,9704.0,5343.0,7517.0,8948.0,4879.0
2011-11,76973.0,24843.0,16049.0,11940.0,11717.0,9636.0,6004.0,6869.0,9488.0,4967.0
2011-12,63009.0,21819.0,13940.0,9649.0,9033.0,7521.0,5003.0,6093.0,7015.0,3675.0
2012-01,73420.0,19763.0,14342.0,12719.0,10012.0,9192.0,4678.0,7079.0,9800.0,4706.0
2012-02,73985.0,21427.0,14994.0,12398.0,10495.0,9066.0,5403.0,6483.0,10078.0,5181.0
2012-03,77418.0,23605.0,16228.0,13177.0,11898.0,9997.0,5226.0,7109.0,10944.0,5464.0
2012-04,70378.0,21809.0,14437.0,12403.0,11256.0,8615.0,5014.0,6041.0,10059.0,4379.0
2012-05,71645.0,23842.0,14605.0,10927.0,11104.0,9318.0,5448.0,6381.0,9452.0,5146.0
2012-06,72660.0,22853.0,14278.0,12005.0,11200.0,8661.0,5256.0,6379.0,9964.0,5167.0
2012-07,69079.0,21575.0,13568.0,10910.0,10691.0,7761.0,5194.0,5401.0,9394.0,3802.0
2012-08,66815.0,22425.0,14084.0,8217.0,10494.0,5568.0,5481.0,5768.0,9142.0,3409.0
2012-09,72574.0,23364.0,14851.0,10393.0,11535.0,7937.0,5326.0,5740.0,10694.0,4327.0
2012-10,76351.0,26519.0,16843.0,11151.0,13151.0,8008.0,5774.0,6153.0,10768.0,5030.0
2012-11,76404.0,25239.0,15604.0,11603.0,11796.0,8252.0,5856.0,5546.0,10770.0,4537.0
2012-12,53074.0,19897.0,11915.0,8703.0,8673.0,6505.0,4614.0,4583.0,8380.0,3041.0
2013-01,66618.0,20605.0,13903.0,10551.0,10018.0,7517.0,5585.0,5200.0,10393.0,4927.0
2013-02,67735.0,21066.0,13735.0,10453.0,10054.0,8292.0,5391.0,4799.0,10366.0,4939.0
2013-03,73563.0,22119.0,14809.0,11669.0,10731.0,9209.0,5264.0,5569.0,10366.0,4914.0
2013-04,74471.0,22377.0,14746.0,11555.0,12804.0,8945.0,5713.0,5425.0,9989.0,5050.0
2013-05,69816.0,23504.0,14533.0,11247.0,11160.0,9261.0,5806.0,5366.0,9886.0,5220.0
2013-06,70909.0,21797.0,15038.0,11417.0,10788.0,8719.0,5773.0,5376.0,11181.0,5164.0
2013-07,70715.0,21262.0,14300.0,11418.0,11115.0,8549.0,6081.0,4915.0,10208.0,4485.0
2013-08,69936.0,21405.0,14214.0,9155.0,10529.0,5693.0,5621.0,4762.0,10234.0,3845.0
2013-09,79969.0,24074.0,15903.0,12088.0,11999.0,9291.0,6489.0,5576.0,12218.0,5033.0
2013-10,81924.0,26740.0,16297.0,12380.0,12791.0,8890.0,7060.0,5934.0,12057.0,5594.0
2013-11,85141.0,26472.0,16226.0,12081.0,12511.0,9053.0,7404.0,6062.0,11339.0,5713.0
2013-12,63303.0,23042.0,13591.0,9946.0,9474.0,7377.0,5791.0,5393.0,8365.0,4263.0
2014-01,82502.0,22317.0,15148.0,12960.0,11146.0,8917.0,6846.0,5764.0,13379.0,5911.0
2014-02,81739.0,22065.0,16068.0,12080.0,12661.0,9337.0,6662.0,5600.0,12586.0,6320.0
2014-03,88016.0,25066.0,16919.0,13196.0,12498.0,10801.0,7540.0,6165.0,12900.0,6932.0
2014-04,84929.0,24669.0,16942.0,12741.0,12586.0,9767.0,7561.0,6201.0,11841.0,6230.0
2014-05,84058.0,24220.0,15888.0,11815.0,11745.0,10328.0,7444.0,6228.0,11755.0,6594.0
2014-06,83430.0,25164.0,16444.0,13609.0,11946.0,10598.0,7579.0,6000.0,13351.0,6808.0
2014-07,86958.0,23851.0,17570.0,13813.0,11875.0,10144.0,7585.0,6282.0,13299.0,5959.0
2014-08,72336.0,22300.0,14712.0,10043.0,9761.0,6611.0,6048.0,5185.0,10598.0,3573.0
2014-09,94463.0,27000.0,18688.0,14409.0,12701.0,10850.0,7852.0,6993.0,13696.0,6591.0
2014-10,92388.0,28292.0,19714.0,14541.0,13176.0,10191.0,8241.0,6876.0,13736.0,7313.0
2014-11,88688.0,27072.0,18332.0,12793.0,11908.0,9741.0,8309.0,6725.0,12570.0,6834.0
2014-12,70827.0,25125.0,15514.0,11539.0,9395.0,7997.0,6452.0,6198.0,10506.0,5121.0
2015-01,83175.584003,23832.743219,15478.819067,12925.040017,10778.526737,9436.71772,7962.714379,5746.348591,13798.558222,7233.211337
2015-02,86352.594582,25405.305474,16663.286068,12252.558877,11309.232328,9602.46316,8234.553145,6133.02101,14563.436165,7016.471333
2015-03,96165.338076,28983.901075,19004.959901,15000.855869,12838.806875,10806.800363,9112.704839,7233.119435,15191.52978,7094.463245
2015-04,89020.429753,26199.618265,17381.550805,13583.684986,11571.109048,9900.565228,7993.487715,6448.758191,13612.704778,6916.954569
2015-05,82524.295521,25845.832267,16870.277972,12149.935045,10845.153192,10642.842342,7649.961982,5862.068102,12579.810926,6961.750702
2015-06,92270.957696,29098.960786,18510.764882,15416.20349,11805.281696,11304.253998,8460.517666,7274.132083,14155.562388,8177.733375
2015-07,89871.648173,27111.171752,16315.820668,13065.252133,11145.791592,10311.05263,8575.146957,6237.600711,13860.008243,7165.028715
2015-08,75607.715032,25389.023043,13956.545127,9192.32217,9778.203105,6072.89879,7086.603509,5097.234398,11694.028989,4282.608304
2015-09,92111.054244,30493.652083,17983.940244,13968.718871,12622.419452,10555.956346,9013.005017,6457.832477,13933.740259,7975.030119
2015-10,95980.812176,32484.760187,18242.941653,14191.205867,12462.380751,10271.236414,8700.803419,6980.643165,15054.455362,8760.599522
2015-11,94426.574887,32601.042178,17540.854471,13803.180704,12435.510127,10480.349191,8780.035151,6678.035491,14690.839658,8186.08057
