month,DE,SK,PL,FR,AT,IT,HU,NL,GB,ES,BE,SE,RO,CH,SI,TR,US,CN,RU,UA,BG,HR,GR,DK,FI,NO,PT,LT,LV,IE
2010-01,54779.0,14014.0,9931.0,9580.0,7797.0,8454.0,4005.0,6067.0,7956.0,4354.0,4518.0,2297.0,1534.0,2468.0,868.0,1040.0,1838.0,1106.0,2949.0,803.0,716.0,389.0,660.0,1129.0,977.0,862.0,521.0,584.0,137.0,356.0
2010-02,56887.0,15588.0,10764.0,9784.0,8313.0,9253.0,4131.0,6027.0,7628.0,5014.0,4823.0,2434.0,1648.0,2393.0,960.0,1026.0,2732.0,1300.0,3538.0,850.0,589.0,474.0,679.0,1273.0,1012.0,947.0,600.0,351.0,208.0,367.0
2010-03,67474.0,18735.0,12699.0,11330.0,10215.0,9667.0,4830.0,6540.0,8427.0,5001.0,5282.0,2881.0,1896.0,2766.0,1133.0,1311.0,3396.0,1683.0,4155.0,2246.0,754.0,529.0,552.0,1365.0,848.0,923.0,604.0,397.0,255.0,451.0
2010-04,61321.0,17708.0,12570.0,10617.0,10220.0,9279.0,4644.0,6630.0,7817.0,5023.0,4366.0,2685.0,1946.0,2702.0,1028.0,1193.0,3052.0,1558.0,4197.0,1193.0,852.0,560.0,512.0,1421.0,770.0,869.0,670.0,395.0,196.0,447.0
2010-05,62772.0,17772.0,13359.0,10791.0,10157.0,9460.0,4940.0,6622.0,8457.0,5407.0,4340.0,2844.0,2087.0,2638.0,1258.0,1368.0,3177.0,1741.0,4250.0,1044.0,630.0,576.0,543.0,1712.0,915.0,831.0,1091.0,404.0,211.0,415.0
2010-06,65853.0,18938.0,13738.0,12153.0,10698.0,9997.0,4949.0,7164.0,8567.0,5867.0,4545.0,3097.0,2171.0,3286.0,1095.0,1546.0,3431.0,1700.0,5167.0,1413.0,733.0,578.0,475.0,1622.0,1118.0,1086.0,784.0,470.0,222.0,395.0
2010-07,59301.0,17495.0,12434.0,11276.0,9364.0,8608.0,4602.0,6280.0,8245.0,3896.0,3451.0,1996.0,2002.0,2508.0,917.0,1331.0,3306.0,1521.0,4722.0,1175.0,674.0,608.0,405.0,1411.0,978.0,723.0,728.0,457.0,170.0,275.0
2010-08,62745.0,17726.0,13310.0,7491.0,10182.0,6151.0,4780.0,6174.0,8073.0,3006.0,4129.0,2899.0,1881.0,2951.0,1031.0,1212.0,3100.0,1542.0,5542.0,1269.0,852.0,594.0,391.0,1418.0,958.0,903.0,506.0,650.0,306.0,304.0
2010-09,72004.0,19760.0,14344.0,10748.0,11413.0,8965.0,5195.0,7444.0,8738.0,4740.0,4849.0,3731.0,2833.0,3321.0,1090.0,1532.0,3429.0,1537.0,6233.0,1454.0,773.0,1336.0,518.0,1663.0,1128.0,985.0,640.0,510.0,445.0,346.0
2010-10,72120.0,20998.0,14782.0,10794.0,10656.0,8757.0,5188.0,7441.0,9365.0,4722.0,4726.0,3220.0,2660.0,3420.0,1080.0,1842.0,3330.0,1739.0,4646.0,1365.0,794.0,594.0,470.0,1590.0,1315.0,1396.0,619.0,541.0,369.0,319.0
2010-11,74909.0,22343.0,14941.0,10762.0,11102.0,9221.0,5871.0,6543.0,9378.0,5403.0,4998.0,3477.0,2733.0,3558.0,1044.0,1594.0,3540.0,1838.0,6136.0,1547.0,1028.0,762.0,527.0,1504.0,1333.0,1130.0,736.0,567.0,340.0,458.0
2010-12,60031.0,20033.0,12932.0,9788.0,8566.0,7960.0,4215.0,6689.0,7428.0,3900.0,4158.0,2919.0,2203.0,2535.0,1025.0,1751.0,3349.0,1848.0,5171.0,1685.0,739.0,748.0,359.0,1167.0,918.0,926.0,626.0,494.0,292.0,446.0
2011-01,66464.0,18463.0,13509.0,11739.0,9846.0,9039.0,4723.0,7100.0,8932.0,4604.0,5007.0,3326.0,2175.0,3359.0,1034.0,1458.0,3578.0,1668.0,4221.0,974.0,648.0,483.0,400.0,1317.0,1326.0,1093.0,769.0,435.0,209.0,772.0
2011-02,66090.0,18916.0,13806.0,11868.0,9599.0,9266.0,4757.0,6612.0,7427.0,4974.0,4933.0,3007.0,2212.0,2978.0,1097.0,1478.0,3196.0,1611.0,4846.0,1275.0,574.0,489.0,409.0,1275.0,1137.0,747.0,633.0,470.0,253.0,352.0
2011-03,76491.0,22212.0,15856.0,12570.0,11542.0,11031.0,5796.0,7716.0,9748.0,5225.0,5736.0,3697.0,2595.0,3641.0,1277.0,1843.0,4098.0,2036.0,6335.0,1464.0,703.0,737.0,464.0,1607.0,1368.0,1058.0,729.0,740.0,318.0,369.0
2011-04,65526.0,20008.0,14782.0,12323.0,11301.0,9230.0,4941.0,7128.0,8553.0,4736.0,5008.0,3182.0,2248.0,3153.0,1047.0,1684.0,3345.0,1847.0,4880.0,1352.0,809.0,683.0,416.0,1509.0,1266.0,1037.0,681.0,495.0,204.0,396.0
2011-05,73125.0,22595.0,15147.0,12428.0,11613.0,9625.0,5351.0,7144.0,8566.0,4980.0,5203.0,3375.0,2210.0,3161.0,1115.0,1752.0,3836.0,1833.0,5692.0,1470.0,675.0,647.0,566.0,1523.0,1181.0,1165.0,666.0,534.0,303.0,336.0
2011-06,69830.0,22203.0,15344.0,12633.0,10726.0,9672.0,5522.0,7241.0,8902.0,5206.0,4980.0,3393.0,2328.0,3402.0,1104.0,1752.0,4073.0,2002.0,6367.0,1627.0,686.0,638.0,609.0,1741.0,1154.0,1101.0,830.0,546.0,291.0,324.0
2011-07,63943.0,19547.0,13840.0,10364.0,10264.0,8960.0,5145.0,6878.0,8620.0,3852.0,3997.0,2308.0,1999.0,2700.0,1052.0,1326.0,3462.0,1859.0,5314.0,1306.0,662.0,772.0,475.0,1435.0,915.0,1105.0,476.0,530.0,220.0,363.0
2011-08,66867.0,21396.0,14647.0,8078.0,10296.0,6451.0,4656.0,5882.0,7375.0,3289.0,4447.0,2776.0,2201.0,3118.0,945.0,1447.0,3884.0,1921.0,6211.0,1740.0,664.0,706.0,381.0,1432.0,975.0,1024.0,487.0,529.0,263.0,330.0
2011-09,73578.0,22152.0,15517.0,12343.0,11239.0,9952.0,5387.0,7206.0,8681.0,5317.0,5615.0,3610.0,2596.0,3749.0,1309.0,1676.0,4415.0,2071.0,7730.0,2161.0,835.0,723.0,447.0,1787.0,1134.0,1276.0,592.0,580.0,312.0,388.0
2011-10,74599.0,22992.0,15315.0,12865.0,11058.0,9704.0,5343.0,7517.0,8948.0,4879.0,5188.0,3442.0,2508.0,3342.0,1178.0,1679.0,4173.0,2111.0,7514.0,1985.0,849.0,678.0,423.0,1806.0,1094.0,1379.0,919.0,582.0,370.0,364.0
2011-11,76973.0,24843.0,16049.0,11940.0,11717.0,9636.0,6004.0,6869.0,9488.0,4967.0,5215.0,3271.0,2444.0,3408.0,1196.0,1743.0,4693.0,2141.0,8438.0,2389.0,883.0,796.0,489.0,1759.0,1139.0,1170.0,504.0,584.0,396.0,421.0
2011-12,63009.0,21819.0,13940.0,9649.0,9033.0,7521.0,5003.0,6093.0,7015.0,3675.0,4458.0,2737.0,1970.0,2783.0,892.0,1532.0,4383.0,2061.0,8044.0,2295.0,734.0,619.0,396.0,1261.0,845.0,769.0,385.0,595.0,343.0,700.0
2012-01,73420.0,19763.0,14342.0,12719.0,10012.0,9192.0,4678.0,7079.0,9800.0,4706.0,5876.0,3103.0,2224.0,3337.0,1068.0,2213.0,5132.0,2577.0,7065.0,1693.0,927.0,550.0,433.0,1472.0,1149.0,1124.0,1305.0,810.0,470.0,781.0
2012-02,73985.0,21427.0,14994.0,12398.0,10495.0,9066.0,5403.0,6483.0,10078.0,5181.0,5611.0,3417.0,2429.0,3376.0,1074.0,1920.0,5031.0,2576.0,8142.0,2049.0,1003.0,766.0,450.0,1448.0,1235.0,1186.0,536.0,743.0,538.0,816.0
2012-03,77418.0,23605.0,16228.0,13177.0,11898.0,9997.0,5226.0,7109.0,10944.0,5464.0,6307.0,3846.0,2909.0,3956.0,1169.0,2323.0,5643.0,2850.0,9810.0,3060.0,1153.0,798.0,382.0,1918.0,1125.0,1314.0,625.0,897.0,301.0,514.0
2012-04,70378.0,21809.0,14437.0,12403.0,11256.0,8615.0,5014.0,6041.0,10059.0,4379.0,5319.0,3208.0,2401.0,3253.0,1052.0,2210.0,5196.0,2267.0,7868.0,3293.0,897.0,568.0,310.0,1639.0,1052.0,1175.0,497.0,901.0,314.0,386.0
2012-05,71645.0,23842.0,14605.0,10927.0,11104.0,9318.0,5448.0,6381.0,9452.0,5146.0,5097.0,3140.0,2596.0,3421.0,1188.0,2387.0,5367.0,2676.0,9820.0,2110.0,1082.0,709.0,330.0,1729.0,1216.0,1294.0,788.0,782.0,365.0,387.0
2012-06,72660.0,22853.0,14278.0,12005.0,11200.0,8661.0,5256.0,6379.0,9964.0,5167.0,5697.0,3508.0,2640.0,3632.0,1078.0,2753.0,6024.0,2436.0,9203.0,2427.0,910.0,650.0,400.0,1758.0,1029.0,1387.0,592.0,709.0,578.0,504.0
